file,line_number,issue_type,severity,description,suggested_fix,fix_applied,page_url
src\app\admin\vendors\page.tsx,107,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\leases\page.tsx,145,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\listings\page.tsx,87,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\listings\page.tsx,88,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\listings\page.tsx,309,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\listings\page.tsx,332,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\owner-portal\properties\page.tsx,107,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\owner-portal\statements\page.tsx,178,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\portal\documents\page.tsx,123,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\portal\inspections\page.tsx,171,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\portal\page.tsx,1027,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\portal\page.tsx,1257,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\portal\page.tsx,342,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\portal\repairs\page.tsx,159,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\portal\settings\page.tsx,130,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\reports\page.tsx,113,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\reports\page.tsx,170,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\reports\page.tsx,157,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\tenants\[id]\page.tsx,142,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\tenants\[id]\page.tsx,344,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\tenants\[id]\page.tsx,448,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\tenants\[id]\page.tsx,192,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\tenants\page.tsx,44,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\tenants\page.tsx,106,accessibility,low,Heading level skips from h1 to h3,Use h2 instead of h3,False,
src\app\vendor-portal\page.tsx,697,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
src\app\vendor-portal\page.tsx,702,accessibility,low,<button> missing explicit type attribute,"Add type=""button"" (or ""submit"" for form buttons)",False,
